7	8	9	17	32	33
1	3	4	8	25	31
5	13	23	28	32	33
1	2	14	22	29	33
4	10	16	17	21	27
12	18	19	23	24	30
2	7	14	16	21	29
6	16	21	27	30	32
8	10	14	16	30	31
1	2	5	6	11	23
1	5	10	14	16	30
8	10	16	20	23	30
7	9	13	17	21	22
4	6	7	10	21	26
8	10	15	17	22	29
9	14	17	23	24	25
2	10	15	19	20	21
13	17	18	21	30	33
4	6	7	14	25	26
2	3	7	13	21	24
2	11	19	30	32	33
4	9	19	22	25	29
5	9	13	15	17	21
1	8	11	19	21	24
9	10	13	14	21	32
5	7	8	20	31	33
8	9	19	20	25	32
5	14	16	21	29	30
8	10	12	14	18	28
3	4	7	17	21	27
15	18	23	27	32	33
1	4	19	22	24	25
6	10	11	28	30	33
4	21	23	31	32	33
3	9	15	20	27	29
7	11	14	19	24	29
8	11	13	18	28	33
4	6	14	16	18	29
3	9	10	19	28	33
1	15	16	25	26	29
9	18	25	26	30	32
6	11	12	14	17	22
2	15	16	17	19	30
8	20	25	30	32	33
6	10	13	16	23	24
5	7	12	19	27	31
12	18	21	22	27	32
11	12	14	20	22	29
3	4	5	25	30	31
1	5	12	13	21	22
7	8	11	13	21	27
4	15	16	24	27	28
4	17	19	23	24	27
4	6	14	16	18	26
9	23	24	25	29	31
1	17	18	19	25	29
4	7	12	19	22	25
20	21	22	23	25	27
4	6	12	17	19	26
1	3	15	16	31	33
5	6	10	14	27	31
7	13	17	19	25	31
2	3	13	20	22	33
4	10	19	27	31	33
4	6	8	18	25	28
3	9	15	23	25	30
1	2	6	11	17	25
7	10	13	15	26	27
4	5	6	7	25	27
5	6	13	18	23	31
5	15	20	22	26	32
2	3	17	22	32	33
9	12	13	24	27	33
12	15	21	26	32	33
3	12	16	17	18	27
4	6	17	21	23	33
4	7	11	17	24	33
1	6	12	13	22	31
1	2	3	6	8	33
15	17	18	21	29	32
9	23	24	27	29	32
16	21	22	28	31	32
7	9	11	17	28	31
9	11	23	30	31	32
1	11	23	27	31	32
1	2	4	15	17	28
2	4	9	13	18	20
2	4	5	6	8	16
5	7	9	23	27	32
4	8	11	14	16	20
5	11	20	21	26	31
7	15	18	19	20	26
5	14	17	22	23	25
1	2	22	28	29	30
1	6	15	19	28	29
2	4	14	18	20	22
1	2	8	26	29	31
7	11	15	21	26	31
4	14	24	25	28	31
2	5	11	23	24	29
4	8	12	19	21	25
9	15	20	21	22	24
2	13	19	23	24	28
2	4	11	13	16	26
2	8	12	14	16	32
5	7	9	11	20	21
5	6	12	14	19	23
4	13	14	20	22	30
1	4	10	13	21	31
10	11	12	23	28	32
7	13	17	19	22	26
3	5	17	18	26	27
9	14	23	24	26	29
14	23	24	26	29	30
4	6	9	25	30	33
3	6	8	14	19	32
